Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF,849.2303609341826
Khyber Road,925000,Flat / Apartment,1321,2,2,2,Unknown,London,SW11 2PZ,700.2271006813021
Coles Court,650000,Flat / Apartment,869,3,3,3,Unknown,Battersea,SW11 3DU,747.9861910241657
Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,Unknown,London,SW11 4BG,820.8955223880597
Kersley Street,1850000,House,1910,5,5,5,Unknown,London,SW11 4PT,968.5863874345549
Battersea Bridge Road,525000,New development,590,1,1,1,Unknown,London,SW11 3AU,889.8305084745763
Larkhall Rise,2200000,House,2239,4,4,4,Unknown,London,SW4 6HS,982.5815096025011
Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU,616.1814609751741
Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,1243.7804726368158
Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,820.1357466063348
Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,1420.4545454545455
Eaton Square,5250000,Flat / Apartment,2299,3,3,3,Unknown,London,SW1W 9DF,2283.6015658982164
Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,956.388676358072
"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,859.6491228070175
Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,1533.1807780320366
Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,814.3322475570033
Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,935.8821186778176
Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,1371.0732984293193
Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,1541.3070283600493
Harbut Road,735000,Flat / Apartment,969,2,2,2,Unknown,London,SW11 2RE,758.5139318885449
Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,772.9681978798586
Fernwood Avenue,1250000,House,2498,6,6,6,Unknown,London,SW16 1RD,500.40032025620496
Havilland Mews,595000,Flat / Apartment,643,2,2,2,Unknown,London,W12 8BG,925.3499222395023
Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,333.53245718837115
Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,534.1704405104981
St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,841.8891170431211
Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,976.4705882352941
Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,1091.703056768559
Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR,416.7361226871145
Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN,1947.5460919241755
Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL,542.6555716353112
The Chase,480000,Flat / Apartment,448,1,1,1,Unknown,London,SW4 0NP,1071.4285714285713
Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB,1985.2524106636415
Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX,1738.41059602649
Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ,635.386119257087
Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ,620.2008269344359
Lysias Road,1300000,House,1890,5,5,5,Unknown,London,SW12 8BW,687.8306878306878
Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP,463.6498516320475
Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE,1157.4074074074074
Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN,1390.6447534766119
Walton Street,5950000,House,2646,4,4,4,Unknown,London,SW3 1RE,2248.677248677249
Chatto Road,1325000,House,1375,4,4,4,Unknown,London,SW11 6LL,963.6363636363636
Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,Unknown,London,SW10 9JY,1170.4119850187267
Elm Park Lane,2300000,House,1119,3,3,3,Unknown,London,SW3 6DB,2055.406613047364
Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ,828.2716731087796
Haverhill Road,1350000,House,1603,5,5,5,Unknown,London,SW12 0HD,842.170929507174
Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL,849.2515923566879
St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,Unknown,London,W2 5QT,1606.060606060606
West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP,633.2931242460796
Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP,1224.0566037735848
Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS,1299.524564183835
Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE,569.2599620493359
Sycamore Gardens,680000,Flat / Apartment,705,2,2,2,Unknown,London,W6 0AP,964.5390070921986
Quarrendon Street,2300000,House,1956,3,3,3,Unknown,London,SW6 3SU,1175.8691206543967
Meredyth Road,2300000,House,2083,5,5,5,Barnes,London,SW13 0DS,1104.1766682669227
Baronsmead Road,4000000,House,3714,5,5,5,Barnes,London,SW13 9RR,1077.0059235325793
Sisters Avenue,500000,Flat / Apartment,516,2,2,2,Unknown,London,SW11 5SQ,968.9922480620155
Warrington Gardens,1275000,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ,1075.9493670886077
Pembroke Villas,4500000,House,2972,3,3,3,Unknown,London,W8 6PG,1514.1318977119784
North End Road,1750000,House,2125,4,4,4,Hampstead,London,NW11 7SY,823.5294117647059
Heath Hurst Road,2600000,House,2350,4,4,4,Hampstead,London,NW3 2RU,1106.3829787234042
Tercelet Terrace,3450000,House,2354,4,4,4, Hampstead,London,NW3 7LW,1465.590484282073
Kersley Street,2350000,House,2183,5,5,5,Unknown,London,SW11 4PR,1076.5002290426019
Buckingham Gate,2375000,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB,1949.9178981937603
Camelot Close,1995000,House,1841,5,5,5,Wimbledon,London,SW19 7EA,1083.6501901140684
Clarendon Close,1000000,House,1154,4,4,4,South Hackney,London,E9 7BY,866.5511265164645
Klea Avenue,1795000,House,2314,5,5,5,Unknown,London,SW4 9HG,775.7130509939499
Manor Place Depot,687500,New development,1178,3,3,3,Unknown,London,SE17 3BD,583.616298811545
Molyneux Street,2450000,House,1483,3,3,3,Unknown,London,W1H 5HW,1652.0566419420095
Gatti House,3500000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR,1977.4011299435028
Stanmore Way,1225000,New development,2487,5,5,5,Loughton,Essex,IG10 2SA,492.5613188580619
Thornhill Crescent,850000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ,1099.6119016817595
Belsize Square,780000,Flat / Apartment,654,2,2,2,Unknown,London,NW3 4HL,1192.6605504587155
Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN,573.816355810617
Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP,503.0013413816231
Milton Road,900000,House,1081,3,3,3,Unknown,London,SW14 8JP,832.5624421831637
Drakefield Road,2500000,House,3986,6,6,6,Unknown,London,SW17 8RR,627.1951831409934
Chiswick High Road,575000,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG,743.8551099611901
Bewick Street,1250000,House,1708,5,5,5,Unknown,London,SW8 3TA,731.8501170960187
Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ,996.8354430379746
Somerset Road,4750000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ,719.4789457740079
Burleigh Place,1175000,House,1909,4,4,4,Putney,London,SW15 6ES,615.5055002619172
Smarts Lane,695000,House,1337,3,3,3,Loughton,Essex,IG10 4BU,519.8204936424831
Freshford Street,1200000,House,1771,4,4,4,Unknown,London,SW18 3TF,677.5832862789384
Ellerton Road,1700000,House,2374,5,5,5,Wandsworth,London,SW18 3NH,716.0909856781802
Ladbroke Crescent & Basement,1000000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS,470.5882352941176
Barts Square,1635000,New development,903,2,2,2, City Of London,London,EC1A 9DS,1810.6312292358805
Elizabeth Place,625000,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP,692.9046563192904
Gleneldon Road,1850000,House,3753,6,6,6,Unknown,London,SW16 2BZ,492.93898214761526
Windsor Court,2400000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN,1382.4884792626729
Southbank Place,1200000,New development,590,1,1,1, South Bank,London,SE1 7NJ,2033.8983050847457
The oTTo,785000,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS,669.2242114236999
Haldane Road,1250000,House,1298,2,2,2,Unknown,London,SW6 7EU,963.020030816641
Chipstead Street,2300000,House,1912,3,3,3, Fulham,London,SW6 3SS,1202.928870292887
Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX,464.27650245034823
Sydney House,1300000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP,887.3720136518772
Waldemar Avenue,1750000,House,1580,4,4,4,Fulham,London,SW6 5NA,1107.5949367088608
Newstead Way,1495000,House,2300,4,4,4,Unknown,London,SW19 5HR,650.0
Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD,635.9273225917038
Melody Road,1625000,House,1953,4,4,4,Unknown,London,SW18 2QF,832.0532514080901
Hasker Street,3150000,House,1449,3,3,3,Unknown,London,SW3 2LE,2173.913043478261
Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW,1106.4278187565858
Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW,1250.5210504376823
Fairfax Mews,1395000,House,1902,5,5,5,Putney,London,SW15 6FF,733.4384858044164
Fairacres,1385000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 5LX,673.6381322957199
Clapham Common South Side,800000,Flat / Apartment,922,2,2,2,Unknown,London,SW4 9DX,867.6789587852495
Ormond Yard,3695000,House,2316,4,4,4,St James's,London,SW1Y 6JT,1595.4231433506045
Cadogan Square,2200000,Flat / Apartment,1195,2,2,2,Unknown,London,SW1X 0JL,1841.0041841004183
Cadogan Square,1175000,Flat / Apartment,687,2,2,2,Unknown,London,SW1X 0JL,1710.334788937409
Aubrey Walk,9500000,House,4815,5,5,5,Unknown,London,W8 7JG,1973.001038421599
Oakwood Court,3100000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS,1255.0607287449393
Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ,1497.005988023952
Fieldsway House,925000,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA,914.0316205533596
Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,1328.502415458937
Reliance Wharf,550000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET,1005.4844606946983
Gayton Road,2400000,House,2202,5,5,5,Hampstead,London,NW3 1TU,1089.9182561307903
Ram Quarter,580000,New development,460,1,1,1, Wandsworth,London,SW18 1TH,1260.8695652173913
Grimston Road,2300000,House,2785,5,5,5,Fulham,London,SW6 3QR,825.8527827648115
Balham Grove,1200000,House,1270,3,3,3,Unknown,London,SW12 8BE,944.8818897637796
Fernside Road,1500000,House,1934,5,5,5,Unknown,London,SW12 8LH,775.5946225439503
Walsingham Place,2250000,House,2605,5,5,5,Unknown,London,SW4 9RR,863.7236084452975
Englewood Road,1500000,House,2047,4,4,4,Unknown,London,SW12 9NZ,732.7796775769418
Streathbourne Road,2150000,House,2850,5,5,5,Unknown,London,SW17 8RA,754.3859649122807
Rowfant Road,1595000,House,2555,6,6,6,Unknown,London,SW17 7AP,624.26614481409
Tantallon Road,1565000,House,2088,5,5,5,Unknown,London,SW12 8DH,749.5210727969348
Honeybrook Road,1500000,House,2173,5,5,5,Unknown,London,SW12 0DL,690.2899217671422
Fenn Mansions,400000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY,516.795865633075
New Providence Wharf,415000,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW,790.4761904761905
Enclave Court,1395000,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH,1134.1463414634147
Fairfax Road,2800000,House,2734,6,6,6, Chiswick,London,W4 1EN,1024.140453547915
Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA,1370.4128440366972
Drayton Court,2750000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH,1495.377922784122
Lower Mall,6950000,House,5501,6,6,6,Hammersmith,London,W6 9DJ,1263.406653335757
Albert Bridge Road,2750000,House,2675,4,4,4,Battersea,London,SW11 4PX,1028.03738317757
Ridgway,525000,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX,1021.4007782101168
Lowndes Square,5450000,Flat / Apartment,1920,3,3,3,Unknown,London,SW1X 9HB,2838.5416666666665
Basilica Mews,2325000,New development,2392,4,4,4,Unknown,Thurleigh Road,SW12 8UF,971.989966555184
Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW,1151.7199017199018
Ovington Gardens,1750000,Flat / Apartment,714,2,2,2,Unknown,London,SW3 1LS,2450.9803921568628
Cubitt Building,750000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL,1241.7218543046358
Iverna Court,3150000,Flat / Apartment,1755,4,4,4,Unknown,London,W8 6TS,1794.871794871795
Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD,487.90835808230804
Waleorde Road,575000,Flat / Apartment,800,2,2,2,Unknown,London,SE17 1GG,718.75
Louisville Road,1250000,House,2475,6,6,6,Unknown,London,SW17 8RU,505.050505050505
Langroyd Road,1150000,House,1703,4,4,4,Unknown,London,SW17 7PL,675.2789195537288
Dance Square,650000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN,1113.013698630137
Cranbrook Road,1295000,House,1356,4,4,4,Chiswick,London,W4 2LH,955.0147492625368
Buer Road,765000,Flat / Apartment,1362,3,3,3, Fulham,London,SW6 4LA,561.6740088105727
Lillian Road,1100000,House,1420,3,3,3,Barnes,London,SW13 9JF,774.6478873239437
Ranelagh Avenue,2350000,House,2153,4,4,4,Barnes,London,SW13 0BL,1091.500232234092
Hillbrook Road,965000,House,1222,4,4,4,Tooting Bec,London,SW17  8SF,789.6890343698855
Weller Court,1750000,Flat / Apartment,732,1,1,1, Holland Park,London,W11 3NT,2390.710382513661
"The oTTo, Hackney",800000,New development,1119,2,2,2, Clapton,E5 8DE,E5 8DS,714.9240393208222
The Grange,1050000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN,442.10526315789474
Stuart Tower,475000,Flat / Apartment,525,1,1,1,105 Maida Vale,London,W9 1UJ,904.7619047619048
Abbey Road Cross,752500,New development,874,2,2,2,131-143 Belsize Road,London,NW6 4BR,860.9839816933638
Ardleigh Road,1399950,House,1748,4,4,4,Unknown,De Beauvoir,N1 4FA,800.8867276887872
Littleworth Avenue,2795000,House,6061,7,7,7,Esher,Surrey,KT10 9PB,461.1450255733377
Ruxley Crescent,1750000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX,447.2271914132379
Clapham Common West Side,2995000,House,3406,5,5,5,Between The Commons,London,SW4 9AU,879.3305930710511
Parkfield Avenue,1825000,House,2500,5,5,5,Unknown,London,SW14 8DY,730.0
Sutherland House,550000,Flat / Apartment,609,2,2,2,137-139 Queenstown Road,London,SW8 3RJ,903.11986863711
Hambalt Road,1850000,House,2516,5,5,5,Unknown,London,SW4 9EL,735.2941176470588
Ormond House,625000,Flat / Apartment,428,1,1,1, Westminster,London,SW1P 2TB,1460.2803738317757
Buckingham Gate,2290000,Flat / Apartment,1604,2,2,2,St. James's,London,SW1E 6LB,1427.6807980049875
Radnor Walk,3450000,House,1820,5,5,5,Chelsea,London,SW3 4BN,1895.6043956043957
King Henrys Road,995000,Flat / Apartment,710,2,2,2,Primrose Hill,London,NW3 3QR,1401.4084507042253
ICON7,450000,New development,538,1,1,1, Holloway,London,N7 0JN,836.4312267657992
Montgomery Road,850000,Flat / Apartment,935,2,2,2,Chiswick,London,W4 5LZ,909.0909090909091
Carlton Mansions,975000,Flat / Apartment,950,2,2,2, Maida Vale,London,W9 1NP,1026.3157894736842
Palace Gardens Terrace,1850000,Flat / Apartment,924,3,3,3,Unknown,London,W8 4SA,2002.1645021645022
Acer Road,940000,House,1074,3,3,3,Hackney,London,E8 3GX,875.2327746741155
Corkran Road,1595000,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN,489.11376878258204
Grosvenor Avenue,1275000,House,1779,4,4,4,Unknown,London,SW14 8BT,716.6947723440135
Enmore Gardens,1325000,House,1541,4,4,4,Unknown,London,SW14 8RF,859.8312783906554
Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG,503.85299347954947
Grandison Road,865000,Flat / Apartment,880,2,2,2,Unknown,London,SW11 6LN,982.9545454545455
Lavender Sweep,650000,Flat / Apartment,859,2,2,2,Unknown,London,SW11 1EA,756.6938300349243
Hollandgreen Place,3500000,New development,1577,2,2,2,Unknown,London,W8 6AX,2219.403931515536
Horsell Road,1695000,House,1944,5,5,5,Highbury,London,N5 1XP,871.9135802469136
Avon Court,399995,Flat / Apartment,472,1,1,1, Canary Wharf,London,E14 7SZ,847.4470338983051
Castelnau,5750000,House,4682,6,6,6,Barnes,London,SW13 9EU,1228.1076463049978
Lower Belgrave Street,4650000,House,2865,4,4,4,Belgravia,London,SW1W 0LN,1623.0366492146597
Donne Place,2800000,House,1448,3,3,3,Unknown,London,SW3 2NH,1933.7016574585634
Oakley Road,1100000,Flat / Apartment,1056,3,3,3,Unknown,London,N1 3LL,1041.6666666666667
Goldhurst House,2650000,Flat / Apartment,1811,3,3,3, Parr's Way,London,W6 9AN,1463.2799558255108
Telford Avenue,1575000,House,2550,5,5,5,Unknown,London,SW2 4XL,617.6470588235294
Mandeville Courtyard,525000,Flat / Apartment,775,1,1,1,142 Battersea Park Road,London,SW11 4NB,677.4193548387096
Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF,1501.3648771610556
Colosseum Terrace,850000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB,1170.7988980716254
Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU,1507.537688442211
Tennyson Road,695000,House,795,2,2,2,Wimbledon,London,SW19 8SH,874.2138364779875
Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD,778.2101167315175
St. Anns Terrace,2050000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ,1585.460170146945
Durward Street,615000,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA,632.716049382716
Fairacres,1000000,Flat / Apartment,1777,3,3,3, Putney,London,SW15 5LX,562.7462014631401
Clapham Park Road,315000,Flat / Apartment,526,1,1,1,Unknown,London,SW4 7EX,598.8593155893536
Moore House,1850000,New development,1328,3,3,3,2 Gatliff Road,London,SW1W 8DT,1393.0722891566265
Graham Terrace,2895000,House,1289,3,3,3,Unknown,London,SW1W 8HN,2245.9270752521334
Whiston House,450000,Flat / Apartment,459,1,1,1,Bingham Court,London,N1 2DH,980.3921568627451
Grand Avenue,500000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU,519.2107995846313
Tooting Bec Road,675000,Flat / Apartment,949,2,2,2,Unknown,London,SW17 8BW,711.2750263435195
Dance Square,650000,Flat / Apartment,583,1,1,1,Peartree Street,Clerkenwell,EC1V 3AN,1114.9228130360207
Flanders Road,1395000,House,1068,1,1,1,Chiswick,London,W4 1NB,1306.1797752808989
The Spinney,2395000,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL,482.2795006041079
Astley House,725000,Flat / Apartment,858,3,3,3,42 Trinity Church Road,London,SW13 8EA,844.988344988345
Suffolk Road,2000000,House,2525,4,4,4,Barnes,London,SW13 9PH,792.0792079207921
Shorrolds Road,625000,Flat / Apartment,664,2,2,2,Unknown,London,SW6 7TP,941.2650602409639
Raynham Road,1350000,House,1328,3,3,3,Brackenbury Village,London,W6 0HY,1016.566265060241
Henning Street,2100000,House,2191,4,4,4,Battersea,London,SW11 3DR,958.4664536741215
The Mount,3650000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ,454.319143639532
Palewell Park,1850000,House,1892,4,4,4,Unknown,London,SW14 8JJ,977.8012684989429
Cranbourne Court,1500000,Flat / Apartment,1132,3,3,3,Albert Bridge Road,London,SW11 4PE,1325.0883392226149
Rothwell Street,3625000,House,2190,4,4,4,Primrose Hill,London,NW1 8YH,1655.2511415525114
New Concordia Wharf,1500000,Flat / Apartment,1274,2,2,2,Mill Street,London,SE1 2BB,1177.3940345368917
Castelnau,525000,Flat / Apartment,630,2,2,2,Barnes,London,SW13 9ER,833.3333333333334
Banbury House,290000,Flat / Apartment,455,1,1,1,Banbury Road,London,E9 7ED,637.3626373626373
Putney Heath Lane,1725000,House,2931,5,5,5,Putney,London,SW15 3JG,588.5363357215967
Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL,923.841059602649
Aragon Tower,400000,Flat / Apartment,705,2,2,2,George Beard Road,Deptford,SE8 3AL,567.3758865248227
Cadogan Lane,3350000,House,1504,3,3,3,Unknown,London,SW1X 9DU,2227.3936170212764
Cedar Mews,1795000,House,2067,4,4,4, Putney,London,SW15 6ED,868.4083212385099
Tormead,600000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX,517.2413793103449
Kent Avenue,1500000,House,1997,4,4,4,Ealing,London,W13 8BH,751.1266900350525
Trefoil Road,1600000,House,2149,4,4,4,Wandsworth,London,SW18 2EQ,744.5323406235458
Thirlmere Road,1550000,House,3620,7,7,7,Unknown,London,SW16 1QW,428.1767955801105
The Regency,1325000,Flat / Apartment,1195,3,3,3, Westminster,London,SW1P 4HD,1108.7866108786611
Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ,879.0170132325142
Wilmington Square,735000,Flat / Apartment,849,2,2,2,Unknown,London,WC1X 0ER,865.7243816254417
Lynwood Road,825000,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ,393.98280802292265
Telfords Yard,1500000,Flat / Apartment,2550,3,3,3,Unknown,London,E1W 2BQ,588.2352941176471
Landmark East Tower,679000,Flat / Apartment,832,2,2,2, Canary Wharf,London,E14 9DB,816.1057692307693
Stanley Mansions,1500000,Flat / Apartment,1244,3,3,3,Park Walk,London,SW10 0AG,1205.7877813504824
Ducks Hill Road,1000000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB,666.2225183211193
Blomfield Road,4995000,House,3035,4,4,4,Little Venice,London,W9 2PF,1645.7990115321252
Wadham Road,1350000,House,1604,4,4,4,Putney,London,SW15 2LS,841.645885286783
Bingfield Street,625000,New development,723,2,2,2,Unknown,London,N1 0BH,864.4536652835408
Orsman Road,600000,Flat / Apartment,660,2,2,2,Hackney,London,N1 5QL,909.0909090909091
Cinnabar Wharf East,875000,Flat / Apartment,627,1,1,1,28 Wapping High Street,London,E1W 1NG,1395.5342902711325
